citation,year,keywords,value,mentions_data,mentions_code,ipums,github_link,dataverse,osf_link,on_request,volume
Robert D. Mare; A Multigenerational View of Inequality. Demography 1 February 2011; 48 (1): 1–23. doi: https://doi.org/10.1007/s13524-011-0014-7,2011,"Multigenerational, Social mobility, Lineages, Inequality","In this light, it is easy to understand the history of sociological and economic research on the intergenerational correlation of various socioeconomic statuses. Starting in the 1960s, sociologists showed that correlations between the educational attainments or the occupational attainments of fathers and sons (using various scales and measures) ranged from about .35 to .40 (e.g., Blau and Duncan 1967). Yet the intergenerational correlations of incomes, measured using the data available at that time, were much lower, around .15 (e.g., Bielby and Hauser 1977). Stocks of human capital, indexed by educational attainment, and occupational entitlements are relatively durable and can last most of an adult life. By contrast, income flows, unless exceptionally large, are comparatively highly perishable. However, in the early 1990s, Solon (1992) and Zimmerman (1992), exploiting longitudinal income data in the Panel Study of Income Dynamics (PSID), showed that averages of sequences of parent and of offspring incomes yield much higher correlations on the order of .4, about the same as the educational and occupational correlations discovered 30 years before. Since then, numerous econometric studies, using longer sequences of parent and offspring incomes in the PSID, as well as more reliable administrative income data, have pushed estimates of the intergenerational correlations of incomes ever higher. For example, a widely cited study by Mazumder (2005), using Social Security earnings data, puts the estimate at around .6. Similar results show up for other countries. The longer and more reliable the income sequences we use in such correlational studies, the closer we may approximate the intergenerational correlation of wealth. Studies of wealth transmission per se are rarer because of data and conceptual problems. It is beyond this essay to review these difficulties, but suffice it to say that wealth presents hard issues about ownership, fungibility, units of analysis, convertibility, and liquidity that go beyond our difficulties in thinking about and measuring incomes, occupations, or human capital. These problems notwithstanding, wealth tends to be more unequally distributed and more highly correlated across generations than the other three dimensions of inequality that have been studied so extensively.",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,48
"Amanda Geller, Irwin Garfinkel, Bruce Western; Paternal Incarceration and Support for Children in Fragile Families. Demography 1 February 2011; 48 (1): 25–47. doi: https://doi.org/10.1007/s13524-010-0009-9",2011,"Incarceration, Fatherhood, Child support",NA,NA,NA,NA,NA,NA,NA,TRUE,48
"Aslan Zorlu, Clara H. Mulder; Ethnic Differences in Leaving Home: Timing and Pathways. Demography 1 February 2011; 48 (1): 49–72. doi: https://doi.org/10.1007/s13524-010-0012-1",2011,"Immigrants, Parental home, Transition to adulthood",NA,NA,NA,NA,NA,NA,NA,FALSE,48
Andrew Halpern-Manners; The Effect of Family Member Migration on Education and Work Among Nonmigrant Youth in Mexico. Demography 1 February 2011; 48 (1): 73–99. doi: https://doi.org/10.1007/s13524-010-0010-3,2011,"Migration, Youth, Sending areas, Employment, Educational attainment, Mexico",NA,NA,NA,NA,NA,NA,NA,TRUE,48
"Jennifer S. Barber, Patricia L. East; Children’s Experiences After the Unintended Birth of a Sibling. Demography 1 February 2011; 48 (1): 101–125. doi: https://doi.org/10.1007/s13524-010-0011-2",2011,"Unintended childbearing, Child well-being, Sibling effects",NA,NA,NA,NA,NA,NA,NA,FALSE,48
"Jenifer L. Bratter, Bridget K. Gorman; Does Multiracial Matter? A Study of Racial Disparities in Self-Rated Health. Demography 1 February 2011; 48 (1): 127–152. doi: https://doi.org/10.1007/s13524-010-0005-0",2011,"Multiracial, Self-rated health, Health disparities, Race, Identity",NA,NA,NA,NA,NA,NA,NA,FALSE,48
"Ming Wen, Danan Gu; The Effects of Childhood, Adult, and Community Socioeconomic Conditions on Health and Mortality among Older Adults in China. Demography 1 February 2011; 48 (1): 153–181. doi: https://doi.org/10.1007/s13524-010-0003-2",2011,"Socioeconomic status, Social mobility, Aging, Mortality, Self-rated health, Disability, China","The publicly available CLHLS data used in this study was obtained from Duke University, which was funded by the National Institute on Aging (R01 AG023627: PI: Zeng Yi), the China Natural Science Foundation, the China Social Science Foundation, the United Nations Population Fund, and the Hong Kong Research Grant Council. An earlier version of this paper was presented at the 2007 American Sociological Association (ASA) Annual Meeting in New York City. We thank Matthew E. Dupre, the guest editor Suzanne M. Bianchi, and three anonymous reviewers for their helpful comments. The views expressed in this paper are those of the authors and do not necessarily reflect those of University of Utah and the United Nations.",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,48
"Randall Kuhn, Bethany Everett, Rachel Silvey; The Effects of Children’s Migration on Elderly Kin’s Health: A Counterfactual Approach. Demography 1 February 2011; 48 (1): 183–209. doi: https://doi.org/10.1007/s13524-010-0002-3",2011,"Migration, Health, Left-behind, Mortality, Selection, Counterfactual framework",NA,NA,NA,NA,NA,NA,NA,FALSE,48
"Vladimir M. Shkolnikov, Evgeny M. Andreev, Zhen Zhang, James Oeppen, James W. Vaupel; Losses of Expected Lifetime in the United States and Other Developed Countries: Methods and Empirical Analyses. Demography 1 February 2011; 48 (1): 211–239. doi: https://doi.org/10.1007/s13524-011-0015-6",2011,"Life expectancy, Premature death, Causes of death, Inequality",NA,NA,NA,NA,NA,NA,NA,FALSE,48
"Irma T. Elo, Neil K. Mehta, Cheng Huang; Disability Among Native-born and Foreign-born Blacks in the United States. Demography 1 February 2011; 48 (1): 241–265. doi: https://doi.org/10.1007/s13524-010-0008-x",2011,"Immigration, Disability, Black/African American, Caribbean, Africa",NA,NA,NA,NA,NA,NA,NA,FALSE,48
